,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,min_spec_chi2,model_spec,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,SNR1,SNR2,flux_ratio_AV_corr,flux_ratio_AV_corr_2,flux_ratio_err_AV_corr,model_ratio,model_ratio_unattenuated,model_ratio_smoothed,model_ratio_smoothed_unattenuated,fig_name,FWHM,ratio_err
17,22611,1,cosmos,2.3886,0.2377,1.1889,0.5598,1.3561,0.6630,2.5293,0.4330,2.3379,0.2347,3.4249,0.2226,2.7277,1.1229,0.2259,0.0847,1.2432,0.5733,0.5446,0.2328,1.4413,0.6804,0.5082,0.4034,4.0285,0.5387,2.3693,0.2509,3.6911,0.2026,0.6789,0.5558,0.7615,1.0158,0.5689,0.8046,0.5558,2,2.3379,2,1.0897,1.0979,1.1889,0.5733,0.5598,0.2328,-21.3182,0.3697,13398679757.8465,0.1874,6793763146.2550,11934952980.8263,11934952980.8263,6.8810,1.0000,0.2272,3.0000,-1.0000,22.4038,20.8562,20.1694,19.8334,19.5484,22.3246,20.4292,19.1762,18.9960,21.1362,19.2826,-19.8806,2.2344,9.8100,-1.0900,-10.9000,8.4000,599.2546,1173.9231,1685.6275,763.5438,19.1716,19.2551,19.3924,20.7823,33.4360,64.8110,1.1077,1.1078,0.0111,1.1335,1.1534,1.1140,1.1338,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_1_22611_2D.pdf,6.1800,0.0111
18,13683,3,cosmos,1.2930,0.1507,1.0489,0.5451,1.8000,0.3641,2.7262,0.3289,2.0165,0.5894,1.7132,0.8796,1.6058,0.6176,0.1881,0.0788,1.1695,0.5112,0.5367,0.2466,1.9518,0.7863,0.3201,0.2864,2.7740,0.6268,1.7821,0.7698,1.9381,0.7949,0.6720,0.6472,0.7141,0.8105,0.6799,0.7210,0.6472,2,1.7132,3,1.0969,1.1021,1.0489,0.5112,0.5451,0.2466,-20.5516,0.4178,7475040843.8149,0.1874,3353471613.3853,5891215982.4635,5891215982.4635,7.2330,1.0000,0.2093,2.0000,-1.0000,22.7156,21.3498,20.6753,20.3741,20.1430,22.6429,20.9373,19.7828,19.5764,21.6131,19.8575,-19.1847,2.0403,9.5700,-0.9700,-10.5400,8.6000,366.5814,597.4220,890.8962,544.9676,19.7732,19.8584,19.9737,21.2608,30.3279,31.1964,1.1146,1.1147,0.0173,1.1393,1.1588,1.1197,1.1393,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_3_13683_2D.pdf,5.0800,0.0173
20,16320,3,cosmos,2.6028,0.4022,1.3221,0.6869,1.8000,0.5473,3.4682,1.3439,3.4596,0.8234,3.8511,0.8396,3.4418,1.0641,0.3705,0.0525,1.6292,0.5277,0.6228,0.1420,1.5232,0.8562,0.6298,0.4038,4.9214,1.7379,3.2018,1.2341,21.5217,0.8543,1.2562,1.0288,1.1119,1.7093,1.1569,4.5494,1.0288,2,3.2018,2,1.0956,1.1096,1.3221,0.5277,0.6869,0.1420,-22.0759,0.5278,38439933630.9996,0.3165,23054491317.6390,23054491317.6390,23054491317.6390,9.7990,1.0000,0.2204,3.0000,-1.0000,21.7645,20.1999,19.4822,19.1470,18.8655,21.6931,19.7643,18.4716,18.2596,20.4876,18.5456,-20.4978,2.2823,10.1500,-0.9500,-11.0900,8.6000,944.9232,1848.3405,2331.3135,1157.9340,18.4681,18.5664,18.6751,20.0588,89.6166,94.6429,1.1183,1.1183,0.0073,1.1241,1.1485,1.1034,1.1279,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_3_16320_2D.pdf,9.2100,0.0073
21,24252,7,cosmos,2.6359,0.5096,1.2562,0.8033,1.2086,0.6851,4.1277,1.1435,5.2674,0.5614,7.4860,0.2320,3.4173,1.1340,0.4777,0.0538,1.1423,0.6703,0.8277,0.4194,0.8685,0.6508,1.2487,0.4613,6.1613,1.4530,5.7871,0.4628,12.4166,0.5777,1.2974,1.2662,1.5542,1.8265,1.3244,2.6615,1.2662,2,4.1277,1,1.0730,1.0900,1.2562,0.6703,0.8033,0.4194,-22.2972,0.6906,61677671711.3673,0.6350,56706950051.0888,56706950051.0888,56706950051.0888,12.4770,1.0000,0.2201,1.0000,0.2201,21.4948,19.9907,19.2340,18.8711,18.5516,21.4220,19.5384,18.1405,17.9188,20.2799,18.1900,-20.7360,2.2608,10.3200,-0.3900,-10.7200,8.8000,595.6603,1395.7472,2160.8637,596.9472,18.1203,18.2219,18.3597,19.9008,63.8445,106.9496,1.0986,1.0988,0.0149,1.1224,1.1509,1.0934,1.1212,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_7_24252_2D.pdf,10.0600,0.0149
22,25114,7,cosmos,2.4085,0.2038,1.2622,0.5122,1.6090,0.4540,1.4021,0.2533,1.4669,0.2020,2.4742,0.2300,2.8635,1.1221,0.1837,0.0578,1.5142,0.5473,0.4538,0.1596,1.5086,0.7537,0.4614,0.3661,4.2749,0.4411,1.9283,0.3153,2.7569,0.2284,0.3821,0.3724,0.5802,1.0214,0.5112,0.6344,0.3724,2,1.4021,1,1.1047,1.1118,1.2622,0.5473,0.5122,0.1596,-21.2456,0.3697,12532751084.0847,0.3165,10731411803.4207,15207098016.0580,15207098016.0580,7.8880,1.0000,0.2074,2.0000,-1.0000,22.2673,20.6875,19.9839,19.6651,19.3942,22.1967,20.2452,19.0246,18.8288,20.9824,19.0997,-19.8561,2.2834,9.8400,-3.5800,-13.4200,8.2000,775.3876,996.1575,1608.5430,528.2344,19.0003,19.0931,19.2042,20.5301,68.6699,58.7011,1.1214,1.1214,0.0100,1.1325,1.1507,1.1153,1.1336,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_7_25114_2D.pdf,11.4500,0.0100
23,25888,7,cosmos,2.6796,0.0000,0.9645,0.3067,1.2781,0.3223,1.9436,2.0743,1.8322,0.6232,1.9589,0.9187,,,,,1.0952,0.4482,0.3077,0.1902,1.2417,0.4703,0.2819,0.2936,,,1.7475,0.8405,4.5013,1.3040,1.2769,0.6260,0.7788,,0.7038,1.4395,0.6260,2,1.7475,2,1.0709,1.0709,0.9645,0.4482,0.3067,0.1902,-20.5543,0.4178,7493624589.7873,0.1874,3361808700.2174,5905862171.5043,5905862171.5043,6.0180,1.0000,0.2371,3.0000,-1.0000,22.4937,21.1269,20.5481,20.2929,20.0639,22.4054,20.7861,19.7532,19.5973,21.3517,19.8924,-19.5919,1.9456,9.5100,-0.8400,-10.3500,8.4000,422.5893,672.7289,1058.7363,442.0372,19.7392,19.8342,19.9308,21.0512,24.1325,34.1189,1.0799,1.0800,0.0153,1.1497,1.1608,1.1365,1.1474,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_7_25888_2D.pdf,6.7700,0.0153
24,14034,10,cosmos,1.5004,0.5605,0.9710,0.9060,1.7279,0.6598,14.8291,0.8389,6.8477,0.7664,9.4208,0.8386,1.2037,0.7676,0.5208,0.1158,0.7208,0.3815,1.0945,0.3743,0.6103,1.1282,1.4796,0.6180,17.5779,0.3346,6.4264,0.8051,9.0939,1.1736,3.2432,1.6620,2.1929,3.5583,1.5970,2.2747,1.5970,2,6.4264,2,1.0866,1.1057,0.7208,0.3815,1.0945,0.3743,-24.3426,0.4178,245459012022.4690,0.1874,110118438984.5890,193450722863.0020,193450722863.0020,16.9320,1.0000,0.3743,1.0000,0.3743,21.1790,19.6275,18.8379,18.4576,18.1264,21.1075,19.1496,17.6503,17.4059,19.9290,17.7321,-22.3321,2.3411,10.9300,0.3900,-10.5400,8.6000,809.9419,2163.5770,2397.7796,958.7238,17.7792,17.9311,18.0911,19.9966,75.3041,118.5041,1.1230,1.1231,0.0135,1.1284,1.1608,1.0889,1.1204,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_10_14034_2D.pdf,7.9100,0.0135
25,16377,10,cosmos,2.3573,0.2404,1.2110,0.5601,1.2781,0.6068,1.6321,0.5753,1.6996,0.2583,2.2557,0.3118,2.9407,1.0693,0.2333,0.0564,1.3095,0.6022,0.5419,0.3234,1.1939,0.6338,0.5873,0.4065,4.0431,1.0072,1.5988,0.3462,22.5581,0.7265,0.5664,0.4420,0.5732,1.2219,0.4606,4.6953,0.4420,2,1.5988,2,1.1041,1.1124,1.2110,0.6022,0.5601,0.3234,-21.3022,0.3697,13203001622.7999,0.3165,11305326859.5932,16020372417.5981,16020372417.5981,6.6230,1.0000,0.2235,1.0000,0.2235,22.4068,20.8501,20.1533,19.8300,19.5646,22.3407,20.4125,19.1758,18.9765,21.1377,19.2607,-19.8567,2.2535,9.8600,-8.7800,-18.6400,8.0000,815.8153,1181.0393,1970.7891,867.4364,19.1775,19.2653,19.3749,20.7343,48.1917,67.1341,1.1222,1.1224,0.0133,1.1326,1.1526,1.1218,1.1415,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_10_16377_2D.pdf,6.2600,0.0133
29,26531,11,cosmos,1.2969,0.3848,0.9993,0.7824,1.9000,0.4969,2.4402,0.3817,1.3938,0.6220,1.7556,0.8639,1.5941,0.6123,0.3995,0.0986,0.7955,0.5671,0.9225,0.4631,1.8470,0.9691,0.5432,0.4110,2.9003,0.7967,1.6713,0.5477,1.9340,0.8913,0.6394,0.5404,0.7155,0.9086,0.5621,0.7621,0.5404,2,1.3938,2,1.0959,1.1090,0.9993,0.5671,0.7824,0.4631,-22.2328,0.4178,35163902017.1678,0.1874,15775318114.5498,27713312328.0158,27713312328.0158,5.1520,1.0000,0.3344,2.0000,-1.0000,22.6933,21.1073,20.3928,20.0425,19.7557,22.6286,20.6614,19.3505,19.1418,21.4009,19.4696,-20.5272,2.3005,10.1700,-24.5000,-34.6700,7.6000,450.6646,940.8089,1482.8704,545.7076,19.4303,19.5475,19.7079,21.3567,55.5104,47.1273,1.1215,1.1216,0.0187,1.1328,1.1608,1.1196,1.1471,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_11_26531_2D.pdf,5.2300,0.0187
31,17321,17,cosmos,2.3748,0.2489,1.2388,0.5628,1.5215,0.5764,1.8022,0.6085,1.8889,0.3050,2.0650,0.2992,2.8584,1.1236,0.2382,0.0635,1.4546,0.5819,0.5167,0.1878,1.5942,0.7626,0.4721,0.3936,3.6533,0.9311,1.7976,0.5676,7.2715,0.4406,0.6138,0.4990,0.5307,1.1132,0.5952,1.6030,0.4990,2,1.7976,2,1.1078,1.1165,1.2388,0.5819,0.5628,0.1878,-21.5271,0.3697,16241844007.7422,0.3165,13907394739.1602,19707669300.2317,19707669300.2317,6.5640,1.0000,0.2184,2.0000,-1.0000,22.0866,20.5761,19.8875,19.5501,19.2825,22.0188,20.1470,18.9013,18.7038,20.8522,18.9902,-20.0725,2.1991,9.9000,-1.0000,-10.9000,8.4000,855.1274,1506.5487,2124.7140,1328.4208,18.8908,18.9928,19.1084,20.4727,32.0237,59.6038,1.1274,1.1276,0.0144,1.1315,1.1516,1.1210,1.1409,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_17_17321_2D.pdf,9.4000,0.0144
32,18089,17,cosmos,2.0653,0.4335,0.9993,0.8298,2.6750,0.4021,2.5285,0.8515,1.7256,0.4158,2.8467,0.6615,2.2909,0.9693,0.4343,0.0586,0.7954,0.5220,0.9691,0.4236,2.5803,1.3204,0.3783,0.2866,2.3011,1.0223,1.7079,0.4760,3.2699,0.7045,0.8602,0.5154,0.8396,0.8901,0.5380,0.9405,0.5154,2,1.7079,2,1.0997,1.1147,0.9993,0.5220,0.8298,0.4236,-22.9920,0.4178,70752110058.9292,0.1874,31740989464.4321,55761027970.4442,55761027970.4442,5.5880,1.0000,0.3799,2.0000,-1.0000,22.4242,20.7979,20.0360,19.6729,19.3628,22.3579,20.3320,18.9107,18.6870,21.1042,19.0375,-21.1640,2.3882,10.5000,-1.2800,-11.7800,8.6000,639.4708,1293.2271,2043.3514,630.7310,19.0286,19.1653,19.3376,21.1623,41.0752,53.2461,1.1274,1.1274,0.0171,1.1311,1.1608,1.1182,1.1477,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_17_18089_2D.pdf,5.5400,0.0171
35,10494,24,cosmos,2.5791,0.4766,1.2908,0.7756,1.9500,0.5389,4.1007,0.6353,3.1788,0.8000,3.1284,0.8340,3.1743,1.1339,0.4476,0.0577,1.3084,0.7759,0.7695,0.5812,2.1263,1.0471,0.4933,0.4163,6.1427,0.9176,3.1988,0.7953,4.0185,0.7272,1.0718,0.9641,0.9691,1.5907,0.9660,1.0956,0.9641,2,3.1284,3,1.0943,1.1106,1.2908,0.7759,0.7756,0.5812,-23.6692,0.5278,166760895140.4140,0.3165,100015459080.7080,141728312846.6430,141728312846.6430,12.0700,1.0000,0.3662,2.0000,-1.0000,21.7288,20.0573,19.2502,18.8689,18.5353,21.6631,19.5666,18.0701,17.8238,20.3810,18.1592,-21.8698,2.4786,10.7900,-4.0400,-14.8300,8.2000,597.4412,1482.5349,2507.3829,910.0515,18.1860,18.3347,18.5029,20.4758,57.4791,92.3293,1.1199,1.1199,0.0208,1.1222,1.1497,1.0994,1.1266,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_24_10494_2D.pdf,6.7900,0.0208
37,11319,24,cosmos,2.4897,0.3732,1.0914,0.7289,3.1250,0.2997,2.1691,0.4795,1.7685,0.5204,13.8365,0.6259,3.0156,1.1521,0.3467,0.0685,1.2267,0.4873,0.6851,0.1909,3.4255,1.4782,0.1744,0.2107,3.5687,0.7980,2.0047,0.4955,4.5319,0.3608,0.6291,0.5691,2.9581,1.0390,0.6042,1.0364,0.5691,2,1.7685,2,1.0922,1.1050,1.0914,0.4873,0.7289,0.1909,-22.8461,0.3183,47125074294.5559,0.1874,27750330437.7411,48750432101.7434,48750432101.7434,7.4330,1.0000,0.3696,2.0000,-1.0000,22.4394,20.8060,20.0649,19.7094,19.3909,22.3764,20.3410,18.9408,18.6957,21.1131,19.0088,-21.0751,2.3745,10.4300,-6.0500,-16.4900,8.2000,649.7005,991.6425,1618.0202,602.8119,19.0757,19.2024,19.3641,21.1749,49.4204,57.0123,1.1162,1.1163,0.0102,1.1312,1.1572,1.1187,1.1446,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_24_11319_2D.pdf,6.4400,0.0102
39,12923,24,cosmos,2.2364,0.4245,0.9905,0.8207,2.3500,0.4264,3.1104,0.7909,2.6198,0.3813,2.9354,0.4363,2.5780,1.0659,0.4132,0.0839,0.9577,0.4857,0.8713,0.2883,2.5673,1.1192,0.3786,0.2827,3.0544,0.9660,3.4282,0.4568,3.0365,0.4843,0.9469,0.6740,0.7592,1.0120,0.8638,0.7996,0.6740,2,2.6198,2,1.0545,1.0684,0.9905,0.4857,0.8207,0.2883,-22.5168,0.4178,45676376548.1717,0.1874,20491450863.8881,35998385181.3011,35998385181.3011,6.1630,1.0000,0.3952,2.0000,-1.0000,23.0462,21.4251,20.6770,20.3170,19.9973,22.9758,20.9642,19.5117,19.2440,21.7282,19.5929,-20.6130,2.3692,10.2100,-2.2800,-12.4900,8.4000,527.1677,646.2553,1002.5051,357.9217,19.6732,19.8050,19.9908,21.8595,33.9365,33.6634,1.0805,1.0807,0.0157,1.1314,1.1608,1.1180,1.1468,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_24_12923_2D.pdf,8.1500,0.0157
40,19842,25,cosmos,2.2276,0.3049,1.0521,0.6613,1.1391,0.5805,2.5220,0.7020,2.3993,0.2536,3.7702,0.3199,2.5438,1.0287,0.3041,0.0524,1.0823,0.4546,0.6608,0.1720,0.9320,0.5583,1.0399,0.4163,3.1389,0.8899,2.4358,0.2671,15.5816,0.7894,0.7941,0.5758,0.8708,0.9954,0.5888,3.3679,0.5758,2,2.3993,2,1.0757,1.0860,1.0521,0.4546,0.6613,0.1720,-21.9926,0.3183,21470758468.2385,0.1874,12643388921.1158,22211291303.9951,22211291303.9951,8.8080,1.0000,0.2311,3.0000,-1.0000,21.9122,20.3485,19.6640,19.3200,19.0313,21.8373,19.9179,18.6334,18.4391,20.6332,18.7356,-20.4160,2.2482,9.9600,-29.1100,-39.0700,7.2000,836.3665,1432.7640,2117.0532,943.7546,18.6394,18.7274,18.8549,20.2571,88.1539,79.4858,1.0962,1.0962,0.0081,1.1350,1.1587,1.1158,1.1394,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_25_19842_2D.pdf,11.1300,0.0081
41,20236,25,cosmos,2.3092,0.4349,1.1604,0.7664,2.5500,0.4115,2.2806,1.1752,2.1653,0.6353,3.0685,0.8926,2.7016,1.1245,0.4268,0.0600,1.3539,0.5098,0.7311,0.1612,2.4562,1.2144,0.4223,0.2672,3.2886,1.4951,1.8808,0.9130,3.0791,0.8917,0.9524,0.6960,0.9829,1.2869,0.7611,0.9846,0.6960,2,1.8808,2,1.0594,1.0738,1.1604,0.5098,0.7664,0.1612,-21.9425,0.3697,23811642965.3624,0.1874,12073627055.3169,21210361343.3552,21210361343.3552,12.5900,1.0000,0.2254,3.0000,-1.0000,22.0739,20.5930,19.8513,19.4948,19.1950,22.0042,20.1456,18.7740,18.5566,20.8769,18.8380,-20.1787,2.2227,10.0900,-0.6300,-10.7200,8.8000,578.4581,855.0521,1267.4618,624.6179,18.7703,18.8700,18.9887,20.5080,64.0614,69.3263,1.0718,1.0718,0.0110,1.1272,1.1545,1.0968,1.1236,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_25_20236_2D.pdf,7.9500,0.0110
43,16320,27,cosmos,2.3917,0.3817,1.2077,0.6995,1.2781,0.7576,2.5877,1.1553,2.4819,0.6499,2.8641,0.7436,2.7707,1.1799,0.3709,0.0568,1.3513,0.6075,0.6696,0.3054,1.4062,0.6220,0.6620,0.3880,4.7169,1.4173,2.3258,0.8426,24.3465,1.0025,1.0035,0.7638,0.8786,1.5305,0.8170,5.1622,0.7638,2,2.3258,2,1.0939,1.1069,1.2077,0.6075,0.6995,0.3054,-22.1225,0.3697,28105612971.7017,0.3165,24065977594.4895,34103031999.4802,34103031999.4802,9.7990,1.0000,0.2204,3.0000,-1.0000,21.7645,20.1999,19.4822,19.1470,18.8655,21.6931,19.7643,18.4716,18.2596,20.4876,18.5456,-20.4978,2.2823,10.1500,-0.9500,-11.0900,8.6000,944.9232,1848.3405,2331.3135,1157.9340,18.4681,18.5664,18.6751,20.0588,61.0414,79.8981,1.1161,1.1162,0.0077,1.1279,1.1527,1.1028,1.1272,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_27_16320_2D.pdf,9.2100,0.0077
45,18192,27,cosmos,1.5000,0.5859,0.9945,0.6983,1.7500,0.6471,36.7165,2.7724,1.4421,0.4404,5.7567,0.9668,1.3914,0.8934,0.3611,0.4499,1.1131,0.5010,0.6858,0.2795,1.8281,0.8409,0.5035,0.3731,2.6408,0.3798,1.4399,0.5154,2.6056,0.7842,8.3317,0.4710,1.5370,0.6775,0.5031,0.8460,0.4710,2,1.4399,2,1.0784,1.0982,0.9945,0.5010,0.6983,0.2795,-21.4217,0.4178,16659242501.0838,0.1874,7473711247.2250,13129452765.3753,13129452765.3753,11.4700,1.0000,0.2135,2.0000,-1.0000,22.3660,20.8653,20.1357,19.8166,19.5383,22.2938,20.4248,19.1286,18.9056,21.1532,19.1804,-19.7743,2.2304,9.8400,-0.7000,-10.5400,8.6000,475.8519,643.0606,1028.8147,590.3085,19.1166,19.2096,19.3388,20.7087,41.0890,47.6283,1.1008,1.1009,0.0137,1.1357,1.1608,1.1074,1.1320,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_27_18192_2D.pdf,6.5700,0.0137
46,18990,27,cosmos,1.2445,0.2389,0.9967,0.6539,1.6090,0.5050,2.7938,0.3776,1.2667,0.7347,2.0065,0.9257,1.4104,0.5675,0.2614,0.0707,0.9070,0.5377,0.7135,0.3886,1.6427,0.7864,0.4830,0.3953,3.1396,0.6312,1.2825,0.6594,2.3621,0.9310,0.7062,0.5645,0.7911,0.8834,0.5350,0.8624,0.5350,2,1.2667,2,1.0992,1.1074,0.9070,0.5377,0.7135,0.3886,-22.5712,0.4178,48019788416.1566,0.1874,21542758186.7451,37845270802.2125,37845270802.2125,6.6840,1.0000,0.3493,1.0000,0.3493,22.1927,20.6727,19.9819,19.6618,19.3939,22.1255,20.2417,18.9698,18.7649,20.9531,19.1028,-21.0381,2.2108,10.3200,-2.1800,-12.4900,8.4000,575.8846,1121.3139,1654.9728,659.6543,19.0745,19.1912,19.3671,20.9506,42.8492,51.8513,1.1226,1.1227,0.0160,1.1373,1.1608,1.1238,1.1468,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_27_18990_2D.pdf,5.5200,0.0160
47,12893,22,goodsn,1.2184,0.3253,0.8383,0.8520,3.6250,0.1788,4.9258,0.5027,1.7953,1.7124,3.7615,3.3248,1.5346,0.5482,0.3697,0.0601,0.7821,0.4328,0.8804,0.3991,3.1952,1.4856,0.1872,0.1448,5.9678,1.8998,2.0906,1.6167,3.6521,3.2644,1.1744,1.0912,2.1722,1.9827,1.1070,2.1248,1.0912,2,1.7953,2,1.0808,1.0921,0.8383,0.4328,0.8520,0.3991,-21.9586,0.3497,22865207584.7607,0.1511,9876896205.1577,18852265423.3531,18852265423.3531,5.1530,1.0000,0.3198,1.0000,0.3198,23.0778,21.5559,20.8282,20.4796,20.2019,23.0152,21.0997,19.7797,19.5321,21.8479,19.8321,-19.9918,2.2496,10.0100,-1.2700,-11.2800,8.8000,587.5128,1056.1559,1572.7586,787.2749,19.8402,19.9682,20.0913,21.7364,63.4631,62.4874,1.1089,1.1091,0.0155,1.1328,1.1633,1.1198,1.1499,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodsn_22_12893_2D.pdf,7.4700,0.0155
50,40504,11,goodss,2.0424,0.1556,1.0000,0.5611,2.2000,0.1868,8.8244,1.7188,4.4430,0.4121,6.0896,0.6913,2.1254,0.8595,0.1658,0.0410,0.9857,0.4141,0.5685,0.2964,2.0526,0.5113,0.2261,0.1418,8.5044,1.9377,4.5740,0.4216,6.8277,0.6789,2.4588,1.0414,1.4822,2.4916,1.0710,1.6202,1.0414,2,4.4430,2,1.1190,1.1389,1.0000,0.4141,0.5611,0.2964,-23.5550,0.4178,118843148326.1030,0.1874,53315711938.4415,93662452079.3516,93662452079.3516,9.2580,1.0000,0.4204,1.0000,0.4204,21.5239,19.9874,19.2943,18.9869,18.7265,21.4536,19.5545,18.3453,18.1432,20.2695,18.4260,-22.1357,2.2296,10.7100,-0.9000,-11.6100,8.4000,765.4783,1592.7207,2325.7870,1634.3068,18.4523,18.6005,18.7489,20.4853,55.0135,103.8189,1.1382,1.1382,0.0114,1.1406,1.1608,1.1193,1.1391,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodss_11_40504_2D.pdf,5.9400,0.0114
51,12009,19,goodss,2.6535,0.5737,1.4015,0.8409,3.6250,0.3929,4.7561,2.5366,6.6997,1.5154,10.6972,2.0285,3.1118,1.6465,0.5560,0.2648,1.6280,0.6120,0.7934,0.3337,2.6229,1.6557,0.5183,0.2235,11.5984,3.1253,6.0904,2.0036,9.0924,1.2962,2.0235,1.9581,2.9568,3.6074,2.0515,2.3276,1.9581,2,4.7561,1,1.1129,1.1330,1.4015,0.6120,0.8409,0.3337,-22.8413,0.5278,77794651573.3821,0.3165,46657627884.4280,66116847758.0080,66116847758.0080,12.8400,1.0000,0.2190,2.0000,-1.0000,21.3827,19.7204,18.9467,18.5809,18.3005,21.3228,19.2397,17.8944,17.6609,20.0408,17.9103,-21.0133,2.4360,10.6000,-18.8600,-29.4600,8.0000,1303.4164,1931.9439,3179.2275,2364.9037,17.8426,17.9520,18.0791,19.6773,112.9817,138.5808,1.1422,1.1422,0.0126,1.1160,1.1456,1.0919,1.1216,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodss_19_12009_2D.pdf,7.9000,0.0126
52,42037,23,goodss,2.0567,0.4784,1.0335,0.8698,1.8000,0.6275,8.0852,5.6713,4.8173,3.0375,5.6510,3.3373,1.8599,0.9595,0.4866,0.0460,1.1005,0.3863,0.8538,0.1584,1.7582,0.6952,0.6688,0.3086,9.1165,4.7865,4.2811,3.3476,11.1697,2.9942,4.0293,2.2526,2.5445,3.8458,2.2830,3.4673,2.2526,2,4.2811,2,1.0982,1.1180,1.0335,0.3863,0.8698,0.1584,-24.2439,0.5583,299494849573.1410,0.3983,213686546799.8880,213686546799.8880,213686546799.8880,11.0730,1.0000,0.4187,1.0000,0.4187,21.0710,19.5460,18.7784,18.4315,18.1263,20.9946,19.0871,17.7143,17.4734,19.8349,17.8036,-22.6416,2.2926,11.0100,-0.0800,-11.0900,8.6000,1758.8382,1916.4828,2999.7906,1691.5992,17.8652,18.0065,18.1740,20.0432,57.8777,142.3597,1.1282,1.1282,0.0065,1.1284,1.1594,1.1025,1.1336,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodss_23_42037_2D.pdf,11.6100,0.0065
53,37586,29,goodss,2.3443,0.3535,1.0188,0.7339,3.1250,0.2997,4.9579,2.0395,3.2097,0.5296,58.9652,2.9466,2.8044,0.9573,0.3467,0.0429,1.0276,0.4818,0.7338,0.3741,2.7162,1.4302,0.2650,0.2170,6.3379,2.9321,3.2074,0.5378,9.3745,0.9881,1.8471,0.8529,12.7273,2.5022,0.8560,2.2488,0.8529,2,3.2074,2,1.0970,1.1167,1.0188,0.4818,0.7339,0.3741,-23.3109,0.3183,72305255121.1653,0.1874,42578070210.6884,74799084842.8394,74799084842.8394,6.1390,1.0000,0.3875,2.0000,-1.0000,21.9527,20.3479,19.6053,19.2700,18.9890,21.8817,19.8935,18.5649,18.3365,20.6460,18.6542,-21.6447,2.3473,10.6200,-1.1600,-11.7800,8.6000,1772.8160,1751.3969,2827.7101,1577.0678,18.6851,18.8181,18.9728,20.7663,42.9645,110.0685,1.1220,1.1220,0.0139,1.1338,1.1600,1.1222,1.1485,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_goodss_29_37586_2D.pdf,6.1400,0.0139
